state,jurisdiction,jurisdiction_type,data_layer,platform,endpoint_url,http_status,sample_record_count,latest_record_date,freshness_days,total_record_count_estimate,sample_field_names,has_owner_name,has_phone,has_email,has_lat_lng,auth_required,terms_url,evidence_url,verdict
WV,West Virginia ParcelSummary (statewide assessor),state_aggregator,assessor,arcgis,https://services.wvgis.wvu.edu/arcgis/rest/services/Planning_Cadastre/WV_Parcels/MapServer/11/query,200,5,,9999,0,ID;CleanParcelID;CountyCode;CountyName;ParcelID;DistrictCode;DistrictName;Map;ParcelNumber;Suffix;LegalDescription1;LegalDescription2;LegalDescription3;DeededAcres;CalculatedAcres;TaxYear;TaxDistrict;TaxClass;DeedBook;DeedPage;PropertyClassCode;PropertyClassDescription;Owner1;Owner2;FullOwnerName;OwnerAddress1;OwnerAddress2;OwnerAddress3;OwnerCity;OwnerStateCode,true,false,false,false,no,https://wvgis.wvu.edu/,https://www.mapwv.gov/parcel/,REJECT_STALE
WV,West Virginia Site Address Points (911),state_aggregator,parcel,arcgis,https://services.wvgis.wvu.edu/arcgis/rest/services/Planning_Cadastre/WV_Parcels/MapServer/5/query,200,5,,9999,0,ESN;PSAP;MSAG;USNGCOORD;CAPTUREMETH;LASTUPDATE;LASTEDITOR;STCOFIPS;Org_SiteID;StreetIDKey;CenterlineIDKey;created_user;created_date;last_edited_user;last_edited_date;Res_Name;Res_Phone;Res_Comment;Org_UnitID;OBJECTID;SITEADDID;ADDPTKEY;PREADDRNUM;ADDRNUMSUF;ADDRNUM;ADDRRANGE;UNITTYPE;UNITID;ALTUNITTYPE;ALTUNITID,false,true,false,false,no,https://wvgis.wvu.edu/,https://www.mapwv.gov/parcel/,REJECT_STALE
WV,West Virginia Parcels (geometry),state_aggregator,parcel,arcgis,https://services.wvgis.wvu.edu/arcgis/rest/services/Planning_Cadastre/WV_Parcels/MapServer/0/query,200,5,,9999,0,Map;Parcel;Suffix;Label;Acres_C;CleanParcelID;GISPID;ROOTID;CODIST;Dist;OBJECTID;CountyID;FullLegalDescription;FullOwnerName;FullOwnerAddress;FullPhysicalAddress,true,false,false,false,no,https://wvgis.wvu.edu/,https://www.mapwv.gov/parcel/,REJECT_STALE
OK,Canadian County Parcel Data (OKC western metro),county,parcel,arcgis,https://services2.arcgis.com/0NjdXxmJp53hZWPd/arcgis/rest/services/ParcelDataService_2_view/FeatureServer/3/query,200,5,,9999,0,OBJECTID;account;a_number;parcel_id;parcel_size;parcel_size_units;owners_name;mail_info;mail_info2;mail_address;mail_city;mail_state;mail_zip;tax_area;tax_area_desc;prop_class;legal;subdiv_code;subdiv_name;subdiv_block;subdiv_lot;township;range;section;quarter_sec;situs;situs_city;situs_zip;land_val;bldg_val,true,false,false,false,no,https://www.canadiancounty.org/,https://www.arcgis.com/home/item.html?id=7bbc6322290241a891f237dc43ed16bd,REJECT_STALE
OK,Oklahoma Construction Industries Board — License Roster,state_aggregator,license_roster,custom,https://oklahoma.gov/cib/licensee-search.html,404,0,,9999,0,,false,false,false,false,no,https://oklahoma.gov/cib.html,https://oklahoma.gov/cib.html,REJECT_404
ME,Maine Parcels Organized Towns (alt service — refreshable),state_aggregator,parcel,arcgis,https://services1.arcgis.com/RbMX0mRVOFNTdLzd/arcgis/rest/services/Maine_Parcels_Organized_Towns/FeatureServer/0/query,200,0,,9999,0,,false,false,false,false,no,https://www.maine.gov/geolib/policies/dataacquisition.html,https://maine.hub.arcgis.com/,REJECT_EMPTY
ME,Maine PFR — Trade License Roster (search-only),state_aggregator,license_roster,custom,https://www.maine.gov/online/pfr/portal/professionallicensing/searchlicense,200,0,,9999,0,,false,false,false,false,no,https://www.maine.gov/pfr/policies,https://www.maine.gov/pfr/professionallicensing/professions/index.html,REJECT_EMPTY
MS,"Harrison County, MS (Gulfport area parcels)",county,parcel,arcgis,https://geo.co.harrison.ms.us/server/rest/services/AGO/HarrisonCounty_ApprovedParcels/FeatureServer/0/query,200,5,,9999,0,OBJECTID;PPIN;PARCELID;NAME;ADDRESS_1;ADDRESS_2;ADDRESS_3;ADDRESS_4;CITY;STATEABBR;ZIP;SECTTOWNRA;TOTALVALUE;QUALCLASS1;TAXDISTRIC;HOMESTEADC;LUCODECLAS;SUBDCODE;PHYSADDR;Shape__Area;Shape__Length;PARCEL_ID;GlobalID,false,false,false,false,no,https://opendata.gis.ms.gov/,https://opendata.gis.ms.gov/datasets/harcogis::approved-parcels,REJECT_STALE
MS,Mississippi State Board of Contractors — License Roster,state_aggregator,license_roster,custom,https://msbcl.ms.gov/onlineverification/Lookup.aspx,0,0,,9999,0,,false,false,false,false,no,https://msbcl.ms.gov/,https://msbcl.ms.gov/,REJECT_TIMEOUT
RI,RI Contractors' Registration & Licensing Board — License Roster,state_aggregator,license_roster,custom,https://crb.ri.gov/contractor-search,404,0,,9999,0,,false,false,false,false,no,https://crb.ri.gov/,https://crb.ri.gov/,REJECT_404
RI,Providence VGSI — Assessor Portal,city,assessor,custom,https://gis.vgsi.com/providenceri/,404,0,,9999,0,,false,false,false,false,no,https://gis.vgsi.com/providenceri/,https://www.providenceri.gov/assessor/,REJECT_404
NH,Hillsborough County NH (Manchester/Nashua VGSI),county,assessor,custom,https://gis.vgsi.com/manchesternh/,200,0,,9999,0,,false,false,false,false,no,https://www.manchesternh.gov/,https://www.manchesternh.gov/Departments/Assessors,REJECT_EMPTY
NH,NH OPLC — License Roster,state_aggregator,license_roster,custom,https://elicense.oplc.nh.gov/Verification/Search.aspx,0,0,,9999,0,,false,false,false,false,no,https://www.oplc.nh.gov/,https://www.oplc.nh.gov/,REJECT_TIMEOUT
