state,jurisdiction,jurisdiction_type,platform,endpoint_url,http_status,sample_record_count,latest_record_date,freshness_days,total_record_count_estimate,sample_field_names,has_owner_name,has_phone,has_email,has_lat_lng,auth_required,terms_url,evidence_url
ID,Boise - Development Tracker,city,arcgis,https://services1.arcgis.com/WHM6qC35aMtyAAlN/arcgis/rest/services/Development_Tracker_Open_Data/FeatureServer/0,200,5,1961-04-27,n/a,735,RecordID;ParentRecordID;RecordName;Status;AddToTrackerDate;RecordType;PropertyAddress;ReviewAuthority;NextHearingDate;HearingBody;ZoningCode;Description,no,no,no,yes,no,https://www.cityofboise.org/about/legal,https://city-of-boise.opendata.arcgis.com/
ID,Boise (full Accela),city,accela,https://permits.cityofboise.org/CitizenAccess/Cap/CapHome.aspx?module=Building,200,n/a,n/a,n/a,n/a,Accela ACA - permit_no;owner;contractor;value;status,yes,no,no,no,scrape,https://www.cityofboise.org/about/legal,https://permits.cityofboise.org/CitizenAccess/Cap/CapHome.aspx?module=Building
ID,Meridian,city,accela,https://aca-prod.accela.com/MERIDIAN/Default.aspx?module=Dev-Services,200,n/a,n/a,n/a,n/a,Accela ACA - permit_no;status;site_address;owner;contractor;value;dates,yes,no,no,no,scrape,https://meridiancity.org,https://meridiancity.org/community-development/building/
ID,Nampa,city,custom,https://www.cityofnampa.us/427/Permit-Reports,200,n/a,n/a,n/a,n/a,monthly PDF/XLS reports - no JSON API,no,no,no,no,scrape,https://www.cityofnampa.us,https://www.cityofnampa.us/427/Permit-Reports
ID,Idaho Falls,city,custom,NONE_FOUND,n/a,0,n/a,n/a,0,n/a,no,no,no,no,no,n/a,https://www.idahofallsidaho.gov/
ID,Caldwell,city,custom,NONE_FOUND,n/a,0,n/a,n/a,0,n/a,no,no,no,no,no,n/a,https://www.cityofcaldwell.org/
KS,Wichita - West Wichita slice (Goddard),city,arcgis,https://services9.arcgis.com/TuMyQVg8YRPEnbjv/arcgis/rest/services/west_wichita_building_permits/FeatureServer/0,200,5,2022-02-21,1168,4136,Permit_Number;Work_Class;Address;City;Establishment;Contractors;Date_Issued;Value;Units;Description;Parcel_Number,no,no,no,yes,no,n/a,https://www.arcgis.com/home/item.html?id=west_wichita_building_permits
KS,Wichita Metro Area (MABCD/Sedgwick),county,accela,https://aca-prod.accela.com/WICHITA/Default.aspx,200,n/a,n/a,n/a,n/a,Accela ACA - permit_no;owner;contractor;value;status,yes,no,no,no,scrape,https://www.wichita.gov,https://aca-prod.accela.com/WICHITA/Default.aspx
KS,Sedgwick County (MABCD portal),county,custom,https://mabcdportal.sedgwickcounty.org,200,n/a,n/a,n/a,n/a,custom MABCD portal - permit_no;status;owner;contractor;site_address,yes,no,no,no,scrape,https://www.sedgwickcounty.org/mabcd/,https://www.sedgwickcounty.org/mabcd/
KS,Butler County (BuCoGIS - Andover/El Dorado/Augusta),county,arcgis,https://services5.arcgis.com/SU4Aj97XUNDcwkDb/arcgis/rest/services/Appraiser_Building_Permits_view/FeatureServer/0,200,5,2026-05-04,0,679,OBJECTID;permitid;firstname;lastname;emailaddress;phone;jobsite_address;CAMA;zoning;floodplain;soilprofile;environmental;buildingpermit;inspections;payment_recieved;CreationDate;EditDate;status,yes,yes,yes,yes,no,https://www.bucoks.com,https://www.bucoks.com/
KS,Overland Park,city,opengov,https://www.opkansas.org/city-services/building-construction/buildings-construction-licenses-permits-inspections/,200,n/a,n/a,n/a,n/a,ePLACE portal (OpenGov) - permit_no;applicant;contractor;status;site_address,yes,no,no,no,scrape,https://www.opkansas.org,https://www.opkansas.org/city-services/permits-licenses-inspections-directory/
KS,Olathe (Building Permits 2024 snapshot),city,arcgis,https://services6.arcgis.com/V5kJ9QPOiI1K62Ac/arcgis/rest/services/2024Permits_shp/FeatureServer/0,200,5,2024-10-02,580,7983,ADDRESS;PERMITNUMB;PermitStat;PermitType;PermitWork;EnteredDat;APPLYDATE;EXPIREDATE;ISSUEDATE;FINALIZEDA;Fee_Total;Fee_Paid;VALUE;SQUAREFEET;Stories;Height;LandUseCod;PID;APID;ZONING;XCOORD;YCOORD,no,no,no,yes,no,https://www.olatheks.org,https://www.olatheks.org
KS,Olathe (live MGOconnect),city,mygovonline,https://www.jocogov.org/department/building-codes/online-permitting,200,n/a,n/a,n/a,n/a,MGOconnect - permit_no;owner;contractor;status;value,yes,no,no,no,scrape,https://www.jocogov.org,https://www.jocogov.org/department/building-codes/online-permitting
KS,Topeka - Planning Cases,city,arcgis,https://maps.topeka.gov/arcgis/rest/services/CityworksViews/Planning_Cases/FeatureServer/0,200,5,2026-05-04,0,1666,OBJECTID;case_number;case_name;case_address;case_status;case_type;PID;project_id;project_desc;case_type_desc;date_entered;date_issued;date_expiration;group_desc;BZA_Hearing_Date;PC_Date,no,no,no,yes,no,https://www.topeka.org,https://maps.topeka.gov/arcgis/rest/services/CityworksViews/Planning_Cases/FeatureServer
KS,Topeka - SP_CUP_Permits,city,arcgis,https://maps.topeka.gov/arcgis/rest/services/LandUsePlanning/SP_CUP_Permit/FeatureServer,200,n/a,n/a,n/a,n/a,Special permit / conditional use permits feature service,no,no,no,yes,no,https://www.topeka.org,https://maps.topeka.gov
KS,Kansas City KS (Wyandotte/UG),city,custom,NONE_FOUND,n/a,0,n/a,n/a,0,no general building permit feature service exposed; only Burn_Permit_Eligibility,no,no,no,no,no,n/a,https://www.wycokck.org
ND,Bismarck - Building Permit Activity (BuildingPermitMain),city,arcgis,https://services1.arcgis.com/XxHmL09eFqJWI0gE/arcgis/rest/services/Map1/FeatureServer/0,200,10,2026-05-05,-1,18603,OBJECTID;PERMIT_NO;APPLICATION_NO;APPLIED;APPROVED;ISSUED;FINALED;EXPIRED;PermitType;PermitSubType;OCCUPANCY_TYPE;ZONING_CODE1;CONST_TYPE;SITE_APN;SITE_ADDR;SITE_CITY;SITE_STATE;SITE_ZIP;DESCRIPTION;BLDG_SF;HEIGHT;NO_STORIES;NO_UNITS;JOBVALUE;FEES_CHARGED;OWNER_NAME;APPLICANT_NAME;CONTRACTOR_NAME;OWNER_LAST;OWNER_FIRST;OWNER_ADDR1;OWNER_CITY;OWNER_STATE;OWNER_ZIP;OWNER_PHONE;OWNER_FAX;OWNER_CELL;OWNER_EMAIL;COORD_X;COORD_Y;LAT;LON,yes,yes,yes,yes,no,https://www.bismarcknd.gov,https://www.bismarcknd.gov/1106/Issued-Building-Permits
ND,Bismarck - MPO Building Permits (regional),city,arcgis,https://services1.arcgis.com/XxHmL09eFqJWI0gE/arcgis/rest/services/MPO_Building_Permits/FeatureServer/0,200,5,2029-08-02,-1,11925,OBJECTID;Status;JURISDICTI;STREET_ADD;SUBDIVISIO;ISSUE_DATE;TYPE;DWELLING_U;DESCRIPTIO;YEAR;SQ_FT;DATE_ISSUED,no,no,no,yes,no,https://www.bismarcknd.gov,https://www.bismarcknd.gov/1106/Issued-Building-Permits
ND,Fargo - 2025 Building Permits (third-party Horizon CCIM),city,arcgis,https://services2.arcgis.com/82iS1Pc7dgs3LFZv/arcgis/rest/services/2025_Building_Permits_Fargo/FeatureServer/0,200,5,2025-12-06,149,1579,OBJECTID;Permit_Number;Address;Date_Issued;Value;Project_Type;Permit_Type;Owner;Contractor,yes,no,no,yes,no,n/a,https://www.arcgis.com/home/item.html?id=2025_Building_Permits_Fargo
ND,Fargo - city portal (live),city,custom,https://permits.fargond.gov/Dashboard.aspx?report=buildingPrmtReport,200,n/a,n/a,n/a,n/a,custom Fargo Permits dashboard,yes,no,no,no,scrape,https://fargond.gov,https://permits.fargond.gov/Dashboard.aspx?report=buildingPrmtReport
ND,Grand Forks,city,tyler_energov,https://cityofgrandforksnd.nwerp.tylerapp.com/nwprod/esuite.permits/,200,n/a,n/a,n/a,n/a,Tyler EnerGov / NorthWoods - permit_no;owner;contractor;status,yes,no,no,no,scrape,https://www.grandforksgov.com,https://www.grandforksgov.com/government/city-departments/building-safety/permits-applications
ND,Minot,city,custom,https://www.minotnd.gov/Archive.aspx?AMID=36,200,n/a,n/a,n/a,n/a,monthly archive PDF reports only,no,no,no,no,scrape,https://www.minotnd.gov,https://www.minotnd.gov/Archive.aspx?AMID=36
ND,West Fargo,city,custom,https://www.westfargond.gov,200,n/a,n/a,n/a,n/a,no public permit feature service found - portal only,no,no,no,no,scrape,https://www.westfargond.gov,https://www.westfargond.gov
NE,Lincoln - Residential New Construction (Current Month),city,arcgis,https://gis.lincoln.ne.gov/public/rest/services/Planning/Residential_New_Construction_Permits/MapServer/0,200,5,2026-05-06,-2,19,PermNo;CurrStatus;ClassCode;Address;Units;Value;Issued;Applied;Final;ParcelNo;StructureType;X;Y;City;State;ZIP;Precinct;LegalDesc,no,no,no,yes,no,https://www.lincoln.ne.gov,https://opendata.lincoln.ne.gov/
NE,Lincoln - Residential 4-yr (Accela layer 5),city,arcgis,https://services1.arcgis.com/wpJGOi6N4Rq5cqFv/arcgis/rest/services/AccelaResidentialPermits/FeatureServer/5,200,5,2026-04-29,5,6195,OBJECTID;Join_Count;parcels_OBJECTID;parcels_AREA;parcels_PRECINCT;parcels_LEGAL;BldgCombinedTable_Issued;BldgCombinedTable_PermNo;BldgCombinedTable_CurrStatus;BldgCombinedTable_CityCounty;BldgCombinedTable_DescWork;BldgCombinedTable_Units;BldgCombinedTable_ClassCode;BldgCombinedTable_Address;BldgCombinedTable_PermType;BldgCombinedTable_Applied;BldgCombinedTable_Final;BldgCombinedTable_ParcelNo;BldgCombinedTable_LegalDesc;BldgCombinedTable_SquareFeet;BldgCombinedTable_UseType;BldgCombinedTable_Occupancy;BldgCombinedTable_StructureType;BldgCombinedTable_PID;BldgCombinedTable_SITUS,no,no,no,yes,no,https://www.lincoln.ne.gov,https://opendata.lincoln.ne.gov/
NE,Lincoln - Development Applications,city,arcgis,https://gis.lincoln.ne.gov/public/rest/services/Planning/DevRevAPPLICATIONS/MapServer/0,200,n/a,n/a,n/a,n/a,Application id;type;status;address;applicant;owner,no,no,no,yes,no,https://www.lincoln.ne.gov,https://opendata.lincoln.ne.gov/
NE,Omaha - Permits & Inspections GIS Viewer,city,arcgis,https://apps.dcgis.org/vertigisstudio/web/?app=58fad6c093a749f1bcca197c55592fb8,200,n/a,n/a,n/a,n/a,VertiGIS viewer - no direct FeatureServer published; backed by Accela,yes,no,no,no,scrape,https://planning.cityofomaha.org,https://planning.cityofomaha.org/latest-news/831-omaha-s-permit-portal
NE,Omaha (city) - Construction Activity,city,arcgis,https://services1.arcgis.com/tIBLyYZX96jUntYm/ArcGIS/rest/services/ConstructionActivity_public/FeatureServer/0,200,0,n/a,n/a,0,OBJECTID;permitid;caseid;details;estcost;submitdt;approvedt;applicant;contractor;fulladdr;locdesc;permittype;permitstat;parcelid;municipality;neighborhood;localdistrict,yes,no,no,yes,no,https://www.cityofomaha.org,https://planning-omaha.hub.arcgis.com/
NE,Bellevue,city,custom,https://www.bellevue.net/departments/permits-inspections/faqs?QuestionID=31,200,n/a,n/a,n/a,n/a,no public feature service - paper/PDF reports,no,no,no,no,scrape,https://www.bellevue.net,https://www.bellevue.net/departments/permits-inspections
NE,Sarpy County,county,custom,https://www.sarpy.gov/276/Online-Permitting,200,n/a,n/a,n/a,n/a,Sarpy online permitting (covers Bellevue area unincorporated),yes,no,no,no,scrape,https://www.sarpy.gov,https://www.sarpy.gov/276/Online-Permitting
NE,Grand Island,city,custom,NONE_FOUND,n/a,0,n/a,n/a,0,n/a,no,no,no,no,no,n/a,https://www.grand-island.com
NE,Kearney,city,custom,NONE_FOUND,n/a,0,n/a,n/a,0,n/a,no,no,no,no,no,n/a,https://www.cityofkearney.org
SD,Rapid City,city,tyler_etrakit,https://permits.rcgov.org/eTRAKiT/,200,n/a,n/a,n/a,n/a,eTRAKiT search - permit_no;owner;contractor;status;site_address,yes,no,no,no,scrape,https://www.rcgov.org,https://www.rcgov.org/departments/community-planning-development/building-permits-inspections-information.html
SD,Pennington County (Rapid City area),county,custom,https://pennco.org/?SEC=51F30682-C70D-4260-B9D6-11B919ED249F,200,n/a,n/a,n/a,n/a,Pennington Building Permits page (PDF reports),no,no,no,no,scrape,https://pennco.org,https://pennco.org/?SEC=51F30682-C70D-4260-B9D6-11B919ED249F
SD,Brookings - BuildingPermits (stale 2017),city,arcgis,https://services.arcgis.com/uUvqNMGPm7axC2dD/arcgis/rest/services/BuildingPermits/FeatureServer/0,200,5,2017-09-30,3138,95,OBJECTID;DATE;Permit_NUM_Bldg;Name;Address;Address_GEOCODE;Community;City_State_Zip;EDU;Desc_;Type;Permit;Value;Permit_Fee;Plan_Check;Plumb_Fee;Mech_Fee;Status,yes,no,no,yes,no,n/a,https://www.cityofbrookings-sd.gov/529/Building-Services
SD,Brookings - city building services,city,custom,https://www.cityofbrookings-sd.gov/214/Past-Building-Permits,200,n/a,n/a,n/a,n/a,monthly PDF report only,no,no,no,no,scrape,https://www.cityofbrookings-sd.gov,https://www.cityofbrookings-sd.gov/529/Building-Services
SD,Watertown,city,opengov,https://www.watertownpermits.com,200,n/a,n/a,n/a,n/a,OpenGov permitting - permit_no;owner;contractor;status;value,yes,no,no,no,scrape,https://www.watertownsd.us,https://www.watertownsd.us/246/Permits
SD,Aberdeen,city,custom,NONE_FOUND,n/a,0,n/a,n/a,0,n/a,no,no,no,no,no,n/a,https://www.aberdeen.sd.us
SD,Brookings County (unincorporated),county,custom,https://www.brookingscountysd.gov/137/Building-Permits-Inspections,200,n/a,n/a,n/a,n/a,county portal - no JSON API,no,no,no,no,scrape,https://www.brookingscountysd.gov,https://www.brookingscountysd.gov/133/Permits-Forms
WY,Sheridan County (unincorporated) - Building Permits,county,arcgis,https://services5.arcgis.com/V4b98G4pSkzvUam9/arcgis/rest/services/Building_Permits_view/FeatureServer/1,200,5,2025-12-31,124,6195,OBJECTID;Permit_Num;Address;Type_of_Bu;Year;ADDFULL;Lat;Long,no,no,no,yes,no,n/a,https://www.sheridancountywy.gov
WY,Laramie County (Cheyenne area) - Roadways Permits,county,arcgis,https://services7.arcgis.com/e0pgXYOnUVuVbJaL/arcgis/rest/services/Laramie_County_Roadways_(View)/FeatureServer,200,n/a,n/a,n/a,n/a,3rd-party Fastrax permit service - roadway/ROW permits only,no,no,no,yes,no,n/a,https://www.laramiecountywy.gov
WY,Cheyenne - Cone Zone (construction projects),city,arcgis,https://www.arcgis.com/apps/dashboards/ece0a73db09c4b189a9debb1c712ed0b,200,n/a,n/a,n/a,n/a,dashboard view - construction projects active,no,no,no,yes,no,https://www.cheyennecity.org,https://www.cheyennecity.org/Your-Government/Departments/City-Engineer/GIS
WY,Cheyenne (post-June 2026 OpenGov),city,opengov,https://www.cheyennecity.org/Your-Government/Departments/Compliance-Department/Building-Permitting-Licensing,200,n/a,n/a,n/a,n/a,OpenGov digital-only permitting (transitioned 2025-06-05),yes,no,no,no,scrape,https://www.cheyennecity.org,https://capcity.news/community/city/2025/06/05/cheyenne-building-division-transitions-to-digital-only-permitting/
WY,Casper / Natrona County,county,custom,https://www.casperwy.gov/services/licenses_and_permits.php,200,n/a,n/a,n/a,n/a,Citizen Self Service portal - paper/PDF,yes,no,no,no,scrape,https://www.casperwy.gov,https://data-cityofcasper.opendata.arcgis.com/
WY,Laramie (city),city,custom,NONE_FOUND,n/a,0,n/a,n/a,0,n/a,no,no,no,no,no,n/a,https://www.cityoflaramie.org/951/GIS
WY,Gillette,city,custom,NONE_FOUND,n/a,0,n/a,n/a,0,n/a,no,no,no,no,no,n/a,https://www.gillettewy.gov
WY,Rock Springs,city,custom,NONE_FOUND,n/a,0,n/a,n/a,0,n/a,no,no,no,no,no,n/a,https://www.rswy.net
