state,jurisdiction,jurisdiction_type,data_layer,platform,endpoint_url,http_status,sample_record_count,latest_record_date,freshness_days,total_record_count_estimate,sample_field_names,has_owner_name,has_phone,has_email,has_lat_lng,auth_required,terms_url,evidence_url
OK,Cleveland County,county,parcel_assessor,custom,NONE_FOUND,,,,,,Tax folder at gis.clevelandcounty.com exposes only NeighborhoodCodes and sales layers; assessor uses Spatialest property portal (HTML only); no parcel polygon FeatureServer found,no,no,no,no,no,https://clevelandcountyok.com/129/County-Assessor,https://gis.clevelandcounty.com/arcgis/rest/services/Tax
RI,Rhode Island,state_aggregator,parcel_assessor,arcgis,https://risegis.ri.gov/hosting/rest/services/RIDEM/Tax_Parcels/MapServer/0,200,2,unknown,unknown,394167,"OBJECTID,PlatLot,Acres,E911,TownCode,PctImp,PctDev,PctOS,IMP_sqft,Last_UPD",no,no,no,no,no,https://www.rigis.org/,https://risegis.ri.gov/hosting/rest/services/RIDEM/Tax_Parcels/MapServer
RI,Providence,city,parcel_assessor,custom,NONE_FOUND,,,,,,Providence GIS Hub exists but webgis.providenceri.gov host is unreachable from public probes (ECONNREFUSED); no FeatureServer parcel layer publicly enumerable,no,no,no,no,unknown,https://www.providenceri.gov/maps/,https://providence-gis-hub-pvdgis.hub.arcgis.com/
RI,Kent County,county,parcel_assessor,custom,NONE_FOUND,,,,,,RI counties have no government function; parcels covered by statewide RIDEM Tax_Parcels above; town-level (Warwick/West Warwick) on Vision Government Solutions HTML only,no,no,no,no,no,https://www.rigis.org/,https://www.vgsi.com/
RI,Washington County,county,parcel_assessor,custom,NONE_FOUND,,,,,,no county REST endpoint; covered by statewide RIDEM Tax_Parcels above; municipal viewers only,no,no,no,no,no,https://www.rigis.org/,https://www.rigis.org/datasets
UT,Utah,state_aggregator,parcel_assessor,arcgis,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahStatewideParcels/FeatureServer/0,200,2,2026-04-22,12,1586356,"OBJECTID,PARCEL_ID,PARCEL_ADD,PARCEL_CITY,PARCEL_ZIP,OWN_TYPE,RECORDER,County,CoParcel_URL,ACCOUNT_NUM",no,yes,no,no,no,https://gis.utah.gov/sgid/sgid-disclaimer/,https://gis.utah.gov/products/sgid/cadastre/parcels/
UT,Salt Lake County,county,parcel_assessor,arcgis,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_SaltLake_LIR/FeatureServer/0,200,2,2026-04-22,12,394610,"OBJECTID,COUNTY_NAME,PARCEL_ID,SERIAL_NUM,PARCEL_ADD,PARCEL_CITY,TOTAL_MKT_VALUE,LAND_MKT_VALUE,PARCEL_ACRES,PROP_CLASS,PRIMARY_RES,BLDG_SQFT,BUILT_YR,EFFBUILT_YR,CONST_MATERIAL,PROP_TYPE",no,no,no,no,no,https://gis.utah.gov/sgid/sgid-disclaimer/,https://opendata.gis.utah.gov/datasets/utah-salt-lake-county-parcels-lir/about
UT,Utah County,county,parcel_assessor,arcgis,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_Utah_LIR/FeatureServer/0,200,2,2026-04-22,12,327655,"OBJECTID,COUNTY_NAME,PARCEL_ID,SERIAL_NUM,PARCEL_ADD,PARCEL_CITY,TOTAL_MKT_VALUE,LAND_MKT_VALUE,PARCEL_ACRES,PROP_CLASS,PRIMARY_RES,BLDG_SQFT,BUILT_YR,EFFBUILT_YR,CONST_MATERIAL",no,no,no,no,no,https://gis.utah.gov/sgid/sgid-disclaimer/,https://opendata.gis.utah.gov/datasets/utah-utah-county-parcels-lir/about
UT,Davis County,county,parcel_assessor,arcgis,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_Davis_LIR/FeatureServer/0,200,2,2026-04-22,12,152563,"OBJECTID,COUNTY_NAME,PARCEL_ID,SERIAL_NUM,PARCEL_ADD,PARCEL_CITY,TOTAL_MKT_VALUE,LAND_MKT_VALUE,PARCEL_ACRES,PROP_CLASS,PRIMARY_RES,BLDG_SQFT,BUILT_YR,EFFBUILT_YR,CONST_MATERIAL",no,no,no,no,no,https://gis.utah.gov/sgid/sgid-disclaimer/,https://opendata.gis.utah.gov/datasets/utah-davis-county-parcels-lir/about
UT,Utah County,county,parcel_assessor,arcgis,https://maps.utahcounty.gov/arcgis/rest/services/Assessor/Assr_Parcels/MapServer/0,200,unknown,unknown,unknown,unknown,"OBJECTID,SERIAL,PARCELID,BOOKPAGE,TRAVNUM,LOT,UNIT,SOURCE,CREATED_DATE,LAST_EDITED_DATE",no,no,no,no,no,https://www.utahcounty.gov/,https://maps.utahcounty.gov/arcgis/rest/services/Assessor/Assr_Parcels/MapServer
UT,Davis County,county,parcel_assessor,arcgis,https://gisportal-pro.daviscountyutah.gov/server/rest/services/Public/Davis_County_Public_Parcels/MapServer/0,200,unknown,unknown,unknown,unknown,"OBJECTID,ParcelTaxID,DedSubPlatID,IsPrivate,ParcelOwnerMailAddressLine1,ParcelOwnerMailCity,ParcelSitusNumber,ParcelSitusStreetName,ParcelFullSitusAddress,ParcelAcreage,ParcelTaxDistrict,ParcelLegalDescription",no,no,no,no,no,https://www.daviscountyutah.gov/,https://gisportal-pro.daviscountyutah.gov/server/rest/services/Public/Davis_County_Public_Parcels/MapServer
WV,West Virginia,state_aggregator,parcel_assessor,arcgis,https://gis.transportation.wv.gov/arcgis/rest/services/Economic/FeatureServer/5,200,2,2023-12-31,>365,1401628,"OBJECTID,ROOTID,CODIST,CleanParcelID,Label,GISPID,Dist,Map,Parcel,Suffix,CountyID,FullLegalDescription,FullOwnerName,FullOwnerAddress,FullPhysicalAddress,Acres_C",yes,no,no,no,no,https://wvgis.wvu.edu/data/dataaccess.php,https://www.mapwv.gov/parcel/
WV,Kanawha County,county,parcel_assessor,arcgis,https://gis.transportation.wv.gov/arcgis/rest/services/Economic/FeatureServer/5,200,2,2023-12-31,>365,117678,"OBJECTID,ROOTID,FullOwnerName,FullOwnerAddress,FullPhysicalAddress,Acres_C (filter CountyID=20)",yes,no,no,no,no,https://wvgis.wvu.edu/data/dataaccess.php,https://kanawhacountyassessor.com/
WV,Berkeley County,county,parcel_assessor,arcgis,https://gis.transportation.wv.gov/arcgis/rest/services/Economic/FeatureServer/5,200,2,2023-12-31,>365,60097,"OBJECTID,FullOwnerName,FullOwnerAddress,FullPhysicalAddress,Acres_C (filter CountyID=02)",yes,no,no,no,no,https://wvgis.wvu.edu/data/dataaccess.php,https://www.berkeleywv.org/334/Address-SearchGIS-Maps
WV,Cabell County,county,parcel_assessor,arcgis,https://gis.transportation.wv.gov/arcgis/rest/services/Economic/FeatureServer/5,200,2,2023-12-31,>365,51079,"OBJECTID,FullOwnerName,FullOwnerAddress,FullPhysicalAddress,Acres_C (filter CountyID=06)",yes,no,no,no,no,https://wvgis.wvu.edu/data/dataaccess.php,https://cabellassessor.com/
ME,Maine,state_aggregator,lien_recorder,custom,NONE_FOUND,,,,,,Maine SOS UCC search at apps1.web.maine.gov is fee-based form; no public bulk REST/Socrata; county registries of deeds use third-party HTML portals (Trustfunds/Cott),no,no,no,no,yes,https://www.maine.gov/sos/corporations-commissions/uniform-commercial-code,https://apps1.web.maine.gov/cgi-bin/online/ucc/index.pl
MS,Mississippi,state_aggregator,lien_recorder,custom,NONE_FOUND,,,,,,MS SOS UCC search has free public portal but is HTML-form only; no JSON/REST/Socrata bulk endpoint; subscription required for document images,no,no,no,no,yes,https://www.sos.ms.gov/business-services/ucc-search,https://www.sos.ms.gov/business-services/ucc-search
NH,New Hampshire,state_aggregator,lien_recorder,custom,NONE_FOUND,,,,,,NH SOS UCC search HTML form only; county Registries of Deeds use Cott Systems / Avitar HTML portals; no bulk REST,no,no,no,no,yes,https://sos.nh.gov/corporation-ucc-securities/,https://sos.nh.gov/corporation-ucc-securities/
OK,Oklahoma,state_aggregator,lien_recorder,custom,NONE_FOUND,,,,,,OK County Clerk and SOS UCC search are HTML-only fee portals; no public REST endpoint; OSCN court records portal exists but is form-based,no,no,no,no,yes,https://www.sos.ok.gov/business/ucc/default.aspx,https://www.sos.ok.gov/business/ucc/default.aspx
RI,Rhode Island,state_aggregator,lien_recorder,custom,NONE_FOUND,,,,,,RI SOS UCC search HTML-form only; municipal land records via Cott Systems / FIDLAR HTML; no JSON/REST,no,no,no,no,yes,https://www.sos.ri.gov/divisions/business-services/uniform-commercial-code,https://ucc.sos.ri.gov/
UT,Utah,state_aggregator,lien_recorder,custom,NONE_FOUND,,,,,,Utah Division of Corporations UCC search requires UtahID login; not anonymous; no JSON REST,no,no,no,no,yes,https://corporations.utah.gov/uniform-commercial-code/,https://corporations.utah.gov/uniform-commercial-code/
WV,West Virginia,state_aggregator,lien_recorder,custom,NONE_FOUND,,,,,,WV SOS UCC Online Filing Search at apps.wv.gov is HTML-form only with paid certified searches; no JSON/REST bulk endpoint,no,no,no,no,yes,https://sos.wv.gov/business/Pages/UCCSearch.aspx,https://apps.wv.gov/SOS/UCC/
